"tweet_id","in_reply_to_status_id","in_reply_to_user_id","retweeted_status_id","retweeted_status_user_id","timestamp","source","text","expanded_urls"
"797597262","","","","","2008-04-26 18:35:45 +0000","web","just got ""the list"" includes garbage duty, meals, installing light fixtures, wallprep and vacuuming. My Saturday is officially shot."
"797582302","797581836","6883232","","","2008-04-26 18:05:06 +0000","web","@abubnic $15/hour and she's worth every penny. Moose Jaw is a great place to live!"
"797581815","797581152","12162982","","","2008-04-26 18:04:15 +0000","web","@schwier Hello everyone from cold, cloudy Moose Jaw, SK. Any questions?"
"797580620","797580071","790852","","","2008-04-26 18:01:52 +0000","web","@kwhobbes it's the best $30 we spend every week. 2 hours of cleaning every Thursday afternoon.  Makes my wife very happy."
"797570255","","","","","2008-04-26 17:40:47 +0000","web","Daughter and her sleep over friends just getting up ....""Dad, go get syrup"".  ""Only if I can have some and you clean up the kitchen""."
"797568450","797566087","790852","","","2008-04-26 17:37:17 +0000","web","@kwhobbes Again, you are good at that stuff....it's your own fault for developing expertise in those areas."
"797568000","797566490","10073992","","","2008-04-26 17:36:23 +0000","web","@sjciske yeah, but that's your thing....you are now a local expert."
"797564468","","","","","2008-04-26 17:29:42 +0000","web","Wife's best friend in a panic to have her daughter's skating DVD made to send to Disney.  This gets me out of housework and other jobs."
"797502956","","","","","2008-04-26 15:37:05 +0000","web","who rings your doorbell at 8AM on a Saturday morning? Thanks alot."
"797293667","","","","","2008-04-26 06:07:12 +0000","web","@injenuity battery dying. too lazy to plug in...will complete the game tomorrow. Gives you time to plan  for a big comeback."
"797281841","797281089","673153","","","2008-04-26 05:33:16 +0000","web","@timlauer what kind of pizza did you have tonight?"
"797253773","","","","","2008-04-26 04:23:39 +0000","web","Reading ""Here Comes Everybody"" Lots of reference to flickr. @dnorman should read it."
"797241970","797238926","13289612","","","2008-04-26 03:55:38 +0000","web","@McTeach I rarely feel anything is TMI. But that's just me."
"797235661","797235524","10073992","","","2008-04-26 03:40:45 +0000","web","@sjciske somehow that makes me feel better. I don't really know why."
"797218159","","","","","2008-04-26 03:00:20 +0000","web","I'm not shaving tomorrow."
"797212158","797211747","739293","","","2008-04-26 02:47:27 +0000","web","@courosa nope....I've sent out 2 emails and no response."
"797210916","","","","","2008-04-26 02:44:50 +0000","web","@injenuity I'll play"
